Alpha Gain,Alpha Loss,Beta,Gamma,propB,propC
0.225,0.075,0.5,1.0,0.26799999999999985,0.7219999999999998
0.225,0.1,0.5,1.0,0.20079999999999995,0.7891999999999996
0.225,0.125,0.5,1.0,0.2846,0.7054
0.225,0.15,0.5,1.0,0.3326999999999999,0.6573
0.225,0.175,0.5,1.0,0.30450000000000005,0.6854999999999998
0.225,0.2,0.5,1.0,0.4114999999999999,0.5785000000000001
0.225,0.225,0.5,1.0,0.31459999999999994,0.6753999999999999
0.225,0.25,0.5,1.0,0.33549999999999985,0.6544999999999999
0.225,0.275,0.5,1.0,0.30029999999999996,0.6896999999999998
0.225,0.3,0.5,1.0,0.3059999999999999,0.6839999999999997
0.225,0.325,0.5,1.0,0.3023999999999998,0.6876000000000001
0.225,0.35,0.5,1.0,0.26349999999999996,0.7264999999999999
0.225,0.375,0.5,1.0,0.2938999999999999,0.6960999999999998
0.225,0.4,0.5,1.0,0.2317999999999999,0.7581999999999998
0.225,0.425,0.5,1.0,0.25919999999999976,0.7307999999999999
0.225,0.45,0.5,1.0,0.21249999999999986,0.7774999999999999
0.225,0.475,0.5,1.0,0.23290000000000002,0.7570999999999999
0.25,0.0,0.5,1.0,0.5029999999999998,0.4869999999999999
0.25,0.025,0.5,1.0,0.36479999999999985,0.6252000000000001
0.25,0.05,0.5,1.0,0.3166999999999999,0.6732999999999998
0.25,0.075,0.5,1.0,0.3087999999999999,0.6812
0.25,0.1,0.5,1.0,0.2784,0.7116
0.25,0.125,0.5,1.0,0.36750000000000005,0.6224999999999997
0.25,0.15,0.5,1.0,0.3148999999999999,0.6750999999999999
0.25,0.175,0.5,1.0,0.3575000000000001,0.6325000000000002
0.25,0.2,0.5,1.0,0.3179,0.6721
0.25,0.225,0.5,1.0,0.32550000000000007,0.6644999999999999
0.25,0.25,0.5,1.0,0.37920000000000004,0.6108
0.25,0.275,0.5,1.0,0.27299999999999996,0.7169999999999997
0.25,0.3,0.5,1.0,0.33149999999999996,0.6585
0.25,0.325,0.5,1.0,0.3098999999999999,0.6801
0.25,0.35,0.5,1.0,0.3032,0.6868000000000001
0.25,0.375,0.5,1.0,0.2688999999999998,0.7210999999999997
0.25,0.4,0.5,1.0,0.2863,0.7036999999999994
0.25,0.425,0.5,1.0,0.23229999999999987,0.7577000000000002
0.25,0.45,0.5,1.0,0.22279999999999986,0.7672
0.25,0.475,0.5,1.0,0.22779999999999986,0.7622000000000001
0.275,0.0,0.5,1.0,0.5725000000000001,0.4175
0.275,0.025,0.5,1.0,0.29330000000000006,0.6967
0.275,0.05,0.5,1.0,0.26839999999999997,0.7215999999999997
0.275,0.075,0.5,1.0,0.2355999999999999,0.7544000000000001
0.275,0.1,0.5,1.0,0.3061,0.6838999999999998
0.275,0.125,0.5,1.0,0.2616,0.7283999999999999
0.275,0.15,0.5,1.0,0.31479999999999997,0.6751999999999999
0.275,0.175,0.5,1.0,0.28290000000000004,0.7070999999999998
0.275,0.2,0.5,1.0,0.3186999999999998,0.6713000000000001
0.275,0.225,0.5,1.0,0.3835,0.6064999999999999
0.275,0.25,0.5,1.0,0.31499999999999995,0.6749999999999997
0.275,0.275,0.5,1.0,0.3754,0.6145999999999999
0.275,0.3,0.5,1.0,0.3049999999999999,0.685
0.275,0.325,0.5,1.0,0.2845999999999999,0.7054
0.275,0.35,0.5,1.0,0.3281999999999999,0.6618000000000002
0.275,0.375,0.5,1.0,0.2805999999999999,0.7093999999999998
0.275,0.4,0.5,1.0,0.25599999999999984,0.7339999999999999
0.275,0.425,0.5,1.0,0.23259999999999992,0.7573999999999999
0.275,0.45,0.5,1.0,0.23279999999999998,0.7571999999999999
0.275,0.475,0.5,1.0,0.24949999999999992,0.7404999999999998
0.3,0.0,0.5,1.0,0.43699999999999994,0.5529999999999999
0.3,0.025,0.5,1.0,0.37349999999999994,0.6165000000000002
0.3,0.05,0.5,1.0,0.35319999999999996,0.6368
0.3,0.075,0.5,1.0,0.27120000000000005,0.7187999999999998
0.3,0.1,0.5,1.0,0.33219999999999994,0.6577999999999996
0.3,0.125,0.5,1.0,0.3579999999999999,0.6319999999999997
0.3,0.15,0.5,1.0,0.32549999999999996,0.6644999999999998
0.3,0.175,0.5,1.0,0.3414,0.6485999999999998
0.3,0.2,0.5,1.0,0.3598000000000001,0.6302
0.3,0.225,0.5,1.0,0.39160000000000017,0.5983999999999998
0.3,0.25,0.5,1.0,0.3375,0.6524999999999999
0.3,0.275,0.5,1.0,0.34519999999999995,0.6448000000000002
0.3,0.3,0.5,1.0,0.3214,0.6686000000000003
0.3,0.325,0.5,1.0,0.3150999999999999,0.6748999999999999
0.3,0.35,0.5,1.0,0.3240999999999998,0.6658999999999997
0.3,0.375,0.5,1.0,0.2787999999999999,0.7111999999999997
0.3,0.4,0.5,1.0,0.21590000000000006,0.7740999999999998
0.3,0.425,0.5,1.0,0.2621999999999998,0.7277999999999999
0.3,0.45,0.5,1.0,0.2539000000000001,0.7360999999999998
0.3,0.475,0.5,1.0,0.2502000000000001,0.7397999999999998
0.325,0.0,0.5,1.0,0.37680000000000013,0.6132
0.325,0.025,0.5,1.0,0.28569999999999984,0.7042999999999999
0.325,0.05,0.5,1.0,0.32949999999999996,0.6605
0.325,0.075,0.5,1.0,0.34519999999999984,0.6447999999999996
0.325,0.1,0.5,1.0,0.28129999999999983,0.7086999999999994
0.325,0.125,0.5,1.0,0.27969999999999995,0.7102999999999996
0.325,0.15,0.5,1.0,0.3177999999999999,0.6721999999999997
0.325,0.175,0.5,1.0,0.2852,0.7048000000000001
0.325,0.2,0.5,1.0,0.3095999999999999,0.6803999999999998
